"","Favorite","Underdog","Spread","Outcome","Upset"
"1","GreenBay","KansasCity",14,25,0
"2","GreenBay","Oakland",13.5,19,0
"3","Baltimore","NYJets",18,-9,1
"4","Minnesota","KansasCity",12.5,-16,1
"5","Dallas","Baltimore",2,-3,1
"6","Dallas","Miami",6,21,0
"7","Miami","Washington",1,7,0
"8","Miami","Minnesota",7,17,0
"9","Pittsburgh","Minnesota",3,10,0
"10","Pittsburgh","Dallas",6,-4,1
"11","Oakland","Minnesota",4.5,18,0
"12","Dallas","Denver",5.5,17,0
"13","Pittsburgh","Dallas",3.5,4,0
"14","Pittsburgh","LARams",10.5,12,0
"15","Philadelphia","Oakland",3,-17,1
"16","SanFrancisco","Cincinnati",1,5,0
"17","Miami","Washington",3,-10,1
"18","Washington","LARaiders",2.5,-29,1
"19","SanFrancisco","Miami",3,22,0
"20","Chicago","NewEngland",10,36,0
"21","NYGiants","Denver",9.5,19,0
"22","Denver","Washington",3,-32,1
"23","SanFrancisco","Cincinnati",7,4,0
"24","SanFrancisco","Denver",11.5,45,0
"25","Buffalo","NYGiants",6,-1,1
"26","Washington","Buffalo",7,13,0
"27","Dallas","Buffalo",7,35,0
"28","Dallas","Buffalo",10,17,0
"29","SanFrancisco","SanDiego",19,23,0
"30","Dallas","Pittsburgh",13,10,0
"31","GreenBay","NewEngland",14,14,0
"32","Denver","GreenBay",12,7,0
"33","Denver","Atlanta",7.5,15,0
"34","StLouis","Tennessee",7,7,0
"35","Baltimore","NewYork",3,27,0
"36","NewEngland","StLouis",14,-3,1
"37","Oakland","TampaBay",3.5,-27,1
"38","NewEngland","Carolina",7,3,0
"39","NewEngland","Philadelphia",4,3,0
"40","Pittsburgh","NewEngland",4,11,0
"41","Indianapolis","Chicago",7,8,0
"42","NewEngland","NYGiants",14,-3,1
"43","Pittsburgh","Arizona",6.5,4,0
"44","NewOrleans","Indianapolis",5,14,1
"45","GreenBay","Pittsburgh",2.5,3.5,0
"46","NewEngland","NYGiants",2.5,-4,1
"47","SanFrancisco","Baltimore",4.5,-3,1
"48","Denver","Seattle",2.5,-35,1
"49","NewEngland","Seattle",1,4,0
