"Mammal","Brain","Body"
"African_elephant",5712,6654
"African_giant_pouched_rat",6.6,1
"Arctic_Fox",44.5,3.385
"Arctic_ground_squirrel",5.7,0.92
"Asian_elephant",4603,2547
"Baboon",179.5,10.55
"Big_brown_bat",0.3,0.023
"Brazilian_tapir",169,160
"Cat",25.6,3.3
"Chimpanzee",440,52.16
"Chinchilla",64,0.425
"Cow",423,465
"Desert_hedgehog",2.4,0.55
"Donkey",419,187.1
"Eastern_American_mole",1.2,0.075
"Echidna",25,3
"European_hedgehog",3.5,0.785
"Galago",5,0.2
"Genet",17.5,1.41
"Giant_armadillo",81,60
"Giraffe",680,529
"Goat",115,27.66
"Golden_hamster",1,0.12
"Gorilla",406,207
"Gray_seal",325,85
"Gray_wolf",119.5,36.33
"Ground_squirrel",4,0.101
"Guinea_pig",5.5,1.04
"Horse",655,521
"Jaguar",157,100
"Kangaroo",56,35
"Lesser_short-tailed_shrew",0.14,0.005
"Little_brown_bat",0.25,0.01
"Man",1320,62
"Mole_rat",3,0.122
"Mountain_beaver",8.1,1.35
"Mouse",0.4,0.023
"Musk_shrew",0.33,0.048
"N._American_opossum",6.3,1.7
"Nine-banded_armadillo",10.8,3.5
"Okapi",490,250
"Owl_monkey",15.5,0.48
"Patas_monkey",115,10
"Phanlanger",11.4,1.62
"Pig",180,192
"Rabbit",12.1,2.5
"Raccoon",39.2,4.288
"Rat",1.9,0.28
"Red_fox",50.4,4.235
"Rhesus_monkey",179,6.8
"Rock_hyrax_(Hetero._b)",12.3,0.75
"Rock_hyrax_(Procavia_hab)",21,3.6
"Roe_deer",98.2,14.83
"Sheep",175,55.5
"Slow_loris",12.5,1.4
"Star_nosed_mole",1,0.06
"Tenrec",2.6,0.9
"Tree_hyrax",12.3,2
"Tree_shrew",2.5,0.104
"Vervet",58,4.19
"Water_opossum",3.9,3.5
"Yellow-bellied_marmot",17,4.05
